frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
1627335713.407890000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.407928000,10.0.1.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.407954000,10.0.2.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.407981000,10.0.3.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.408010000,10.0.4.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.408042000,10.0.5.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.408897000,10.0.6.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.408900000,10.0.7.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.409145000,10.0.8.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.410939000,10.0.9.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.412132000,10.0.10.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.413141000,10.0.11.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.414437000,10.0.12.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.416367000,10.0.13.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.417156000,10.0.14.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.418443000,10.0.15.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.419691000,10.0.16.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.421033000,10.0.17.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.427567000,10.0.18.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.427865000,10.0.19.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.512755000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.513155000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.559714000,10.0.1.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.630339000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.630810000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.675752000,10.0.2.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.676903000,10.0.3.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.678097000,10.0.5.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.679933000,10.0.6.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.680676000,10.0.9.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.681941000,10.0.11.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.683117000,10.0.13.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.684154000,10.0.15.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.685388000,10.0.17.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.687316000,10.0.19.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.724150000,10.0.1.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
1627335713.732475000,10.0.0.2,10.0.0.10,10.0.0.10,10.0.20.10,311,283,,0
