frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1628693442.664219000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664225000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664235000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664240000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664250000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664255000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664266000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664271000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664281000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664287000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664298000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664304000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664314000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664319000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664329000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664335000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664345000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664350000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664360000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664436000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664452000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664460000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664470000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664476000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664486000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664492000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664503000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.664508000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.664623000","10.0.0.10","10.0.3.10","66","26","0"
