frame.time_epoch,ip.src,ip.dst,ip.len
"1636671779.430626000","10.0.0.2","10.0.0.10","576"
"1636671779.430906000","10.0.0.2","10.0.0.10","576"
"1636671779.431042000","10.0.0.2","10.0.0.10","576"
"1636671779.431312000","10.0.0.2","10.0.0.10","576"
"1636671779.431521000","10.0.1.2","10.0.0.10","576"
"1636671779.432065000","10.0.1.2","10.0.0.10","576"
"1636671779.432871000","10.0.1.2","10.0.0.10","576"
"1636671779.433487000","10.0.1.2","10.0.0.10","576"
"1636671779.434163000","10.0.2.2","10.0.0.10","576"
"1636671779.434849000","10.0.2.2","10.0.0.10","576"
"1636671779.435677000","10.0.2.2","10.0.0.10","576"
"1636671779.436513000","10.0.2.2","10.0.0.10","576"
"1636671779.437482000","10.0.3.2","10.0.0.10","576"
"1636671779.438815000","10.0.3.2","10.0.0.10","576"
"1636671779.439880000","10.0.3.2","10.0.0.10","576"
"1636671779.440888000","10.0.3.2","10.0.0.10","576"
"1636671779.441964000","10.0.4.2","10.0.0.10","576"
"1636671779.442702000","10.0.4.2","10.0.0.10","576"
"1636671779.443699000","10.0.4.2","10.0.0.10","576"
"1636671779.445790000","10.0.4.2","10.0.0.10","576"
"1636671779.446501000","10.0.5.2","10.0.0.10","576"
"1636671779.447826000","10.0.5.2","10.0.0.10","576"
"1636671779.448458000","10.0.5.2","10.0.0.10","576"
"1636671779.449704000","10.0.5.2","10.0.0.10","576"
"1636671779.450958000","10.0.6.2","10.0.0.10","576"
"1636671779.452184000","10.0.6.2","10.0.0.10","576"
"1636671779.453738000","10.0.6.2","10.0.0.10","576"
"1636671779.454773000","10.0.6.2","10.0.0.10","576"
"1636671779.456818000","10.0.7.2","10.0.0.10","576"
"1636671779.457701000","10.0.7.2","10.0.0.10","576"
"1636671779.459073000","10.0.7.2","10.0.0.10","576"
"1636671779.460651000","10.0.7.2","10.0.0.10","576"
